color;director_name;duration;gross;genres;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes
color;peter jackson;164;255108370.0;['Adventure', 'Fantasy'];the hobbit: the battle of the five armies;2014;english;new zealand;250000000.0;7.5;Aidan Turner,Adam Brown,James Nesbitt;65000
color;tom hooper;158;148775460.0;['Drama', 'Musical', 'Romance'];les misérables;2012;english;usa;61000000.0;7.6;Hugh Jackman,Eddie Redmayne,Anne Hathaway;144000
color;tom hooper;158;148775460.0;['Drama', 'Musical', 'Romance'];les misérables;2012;english;usa;61000000.0;7.6;Hugh Jackman,Eddie Redmayne,Anne Hathaway;144000
color;kathryn bigelow;157;95720716.0;['Drama', 'History', 'Thriller'];zero dark thirty;2012;english;usa;40000000.0;7.4;Jennifer Ehle,Harold Perrineau,Parker Sawyers;39000
color;ridley scott;156;105219735.0;['Action', 'Adventure', 'Drama', 'History'];robin hood;2010;english;usa;200000000.0;6.7;Mark Addy,William Hurt,Scott Grimes;17000
color;;156;183635922.0;['Adventure', 'Drama', 'Thriller', 'Western'];the revenant;2015;english;usa;135000000.0;8.1;Leonardo DiCaprio,Tom Hardy,Lukas Haas;190000
color;michael bay;154;352358779.0;['Action', 'Adventure', 'Sci-Fi'];transformers: dark of the moon;2011;english;usa;195000000.0;6.3;Glenn Morshower,Lester Speight,Kevin Dunn;46000
color;denis villeneuve;153;60962878.0;['Crime', 'Drama', 'Mystery', 'Thriller'];prisoners;2013;english;usa;46000000.0;8.1;Hugh Jackman,Jake Gyllenhaal,Dylan Minnette;86000
color;marc webb;153;262030663.0;['Action', 'Adventure', 'Fantasy'];the amazing spider-man;2012;english;usa;230000000.0;7.0;Emma Stone,Andrew Garfield,Chris Zylka;56000
color;nan;151;228430993.0;['Adventure', 'Drama', 'Sci-Fi'];the martian;2015;english;usa;108000000.0;8.1;Matt Damon,Donald Glover,Benedict Wong;153000
color;ridley scott;150;65007045.0;['Action', 'Adventure', 'Drama'];exodus: gods and kings;2014;english;uk;140000000.0;6.1;Christian Bale,María Valverde,Ben Mendelsohn;51000
color;ridley scott;150;65007045.0;['Action', 'Adventure', 'Drama'];exodus: gods and kings;2014;english;uk;140000000.0;6.1;Christian Bale,María Valverde,Ben Mendelsohn;51000
color;;150;182204440.0;['Biography', 'Drama', 'History', 'War'];lincoln;2012;english;usa;65000000.0;7.4;Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill;71000
color;gore verbinski;650;89289910.0;['Action', 'Adventure', 'Western'];the lone ranger;2013;english;usa;215000000.0;6.5;Johnny Depp,Ruth Wilson,Tom Wilkinson;48000
color;david fincher;149;167735396.0;['Crime', 'Drama', 'Mystery', 'Thriller'];gone girl;2014;english;usa;61000000.0;8.1;Patrick Fugit,Sela Ward,Emily Ratajkowski;146000
color;bryan singer;149;233914986.0;['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller'];x-men: days of future past;2014;english;united states;200000000.0;8.0;Jennifer Lawrence,Peter Dinklage,Hugh Jackman;82000
color;christopher nolan;148;292568851.0;['Action', 'Adventure', 'Sci-Fi', 'Thriller'];inception;2010;english;usa;160000000.0;8.8;Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt;175000
color;paul thomas anderson;148;8093318.0;['Comedy', 'Crime', 'Drama', 'Mystery', 'Romance'];inherent vice;2014;english;usa;20000000.0;6.7;Martin Dew,Katherine Waterston,Serena Scott Thomas;18000
color;sam mendes;148;200074175.0;['Action', 'Adventure', 'Thriller'];spectre;2015;english;uk;245000000.0;6.8;Christoph Waltz,Rory Kinnear,Stephanie Sigman;85000
color;;147;407197282.0;['Action', 'Adventure', 'Sci-Fi'];captain america: civil war;2016;english;usa;250000000.0;8.2;Robert Downey Jr.,Scarlett Johansson,Chris Evans;72000
color;michael patrick king;146;95328937.0;['Comedy', 'Drama', 'Romance'];sex and the city 2;2010;english;usa;100000000.0;4.3;Chris Noth,Liza Minnelli,Kristin Davis;0
color;tate taylor;146;169705587.0;['Drama'];the help;2011;english;usa;25000000.0;8.1;Emma Stone,Bryce Dallas Howard,Mike Vogel;75000
color;francis lawrence;146;424645577.0;['Adventure', 'Sci-Fi', 'Thriller'];the hunger games: catching fire;2013;english;usa;130000000.0;7.6;Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty;82000
 black and white;steven spielberg;146;79883359.0;['Drama', 'War'];war horse;2011;english;usa;66000000.0;7.2;Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan;28000
color;michael bay;144;52822418.0;['Action', 'Drama', 'Thriller', 'War'];13 hours;2016;english;usa;50000000.0;7.4;Toby Stephens,James Badge Dale,David Costabile;44000
color;guillaume canet;144;41229.0;['Crime', 'Drama', 'Thriller'];blood ties;2013;english;france;25500000.0;6.5;Mila Kunis,Lili Taylor,Billy Crudup;0
color;paul thomas anderson;144;16377274.0;['Drama'];the master;2012;english;usa;32000000.0;7.1;Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild;27000
color;bryan singer;144;154985087.0;['Action', 'Adventure', 'Sci-Fi'];x-men: apocalypse;2016;english;usa;178000000.0;7.3;Jennifer Lawrence,Michael Fassbender,Tye Sheridan;54000
color;adam mckay;143;2175312.0;['Comedy'];anchorman 2: the legend continues;2013;english;usa;50000000.0;6.3;Harrison Ford,Will Ferrell,Steve Carell;41000
